# Final state angular momentum:   1
# Broadening parameter (in eV):    0.500
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
   10.66066066    0.06966682
   10.70070070    0.07014134
   10.74074074    0.07062418
   10.78078078    0.07111446
   10.82082082    0.07161012
   10.86086086    0.07210782
   10.90090090    0.07260306
   10.94094094    0.07309034
   10.98098098    0.07356351
   11.02102102    0.07401614
   11.06106106    0.07444194
   11.10110110    0.07483509
   11.14114114    0.07519041
   11.18118118    0.07550346
   11.22122122    0.07577038
   11.26126126    0.07598773
   11.30130130    0.07615212
   11.34134134    0.07625988
   11.38138138    0.07630679
   11.42142142    0.07628778
   11.46146146    0.07619689
   11.50150150    0.07602734
   11.54154154    0.07577190
   11.58158158    0.07542352
   11.62162162    0.07497618
   11.66166166    0.07442591
   11.70170170    0.07377186
   11.74174174    0.07301714
   11.78178178    0.07216931
   11.82182182    0.07124039
   11.86186186    0.07024634
   11.90190190    0.06920605
   11.94194194    0.06813992
   11.98198198    0.06706846
   12.02202202    0.06601082
   12.06206206    0.06498370
   12.10210210    0.06400060
   12.14214214    0.06307137
   12.18218218    0.06220221
   12.22222222    0.06139575
   12.26226226    0.06065150
   12.30230230    0.05996624
   12.34234234    0.05933461
   12.38238238    0.05874965
   12.42242242    0.05820341
   12.46246246    0.05768750
   12.50250250    0.05719365
   12.54254254    0.05671405
   12.58258258    0.05624177
   12.62262262    0.05577088
   12.66266266    0.05529656
   12.70270270    0.05481517
   12.74274274    0.05432417
   12.78278278    0.05382213
   12.82282282    0.05330861
   12.86286286    0.05278412
   12.90290290    0.05224990
   12.94294294    0.05170785
   12.98298298    0.05116030
   13.02302302    0.05060992
   13.06306306    0.05005954
   13.10310310    0.04951214
   13.14314314    0.04897075
   13.18318318    0.04843834
   13.22322322    0.04791777
   13.26326326    0.04741165
   13.30330330    0.04692222
   13.34334334    0.04645124
   13.38338338    0.04599986
   13.42342342    0.04556862
   13.46346346    0.04515736
   13.50350350    0.04476536
   13.54354354    0.04439139
   13.58358358    0.04403391
   13.62362362    0.04369123
   13.66366366    0.04336171
   13.70370370    0.04304397
   13.74374374    0.04273702
   13.78378378    0.04244046
   13.82382382    0.04215451
   13.86386386    0.04188013
   13.90390390    0.04161898
   13.94394394    0.04137331
   13.98398398    0.04114587
   14.02402402    0.04093968
   14.06406406    0.04075774
   14.10410410    0.04060281
   14.14414414    0.04047711
   14.18418418    0.04038216
   14.22422422    0.04031859
   14.26426426    0.04028606
   14.30430430    0.04028318
   14.34434434    0.04030759
   14.38438438    0.04035595
   14.42442442    0.04042412
   14.46446446    0.04050730
   14.50450450    0.04060027
   14.54454454    0.04069769
   14.58458458    0.04079445
   14.62462462    0.04088604
   14.66466466    0.04096884
   14.70470470    0.04104041
   14.74474474    0.04109958
   14.78478478    0.04114645
   14.82482482    0.04118224
   14.86486486    0.04120906
   14.90490490    0.04122962
   14.94494494    0.04124696
   14.98498498    0.04126420
   15.02502503    0.04128428
   15.06506507    0.04130982
   15.10510511    0.04134294
   15.14514515    0.04138507
   15.18518519    0.04143685
   15.22522523    0.04149801
   15.26526527    0.04156732
   15.30530531    0.04164266
   15.34534535    0.04172113
   15.38538539    0.04179927
   15.42542543    0.04187335
   15.46546547    0.04193964
   15.50550551    0.04199462
   15.54554555    0.04203522
   15.58558559    0.04205881
   15.62562563    0.04206325
   15.66566567    0.04204676
   15.70570571    0.04200782
   15.74574575    0.04194498
   15.78578579    0.04185680
   15.82582583    0.04174179
   15.86586587    0.04159839
   15.90590591    0.04142508
   15.94594595    0.04122053
   15.98598599    0.04098374
   16.02602603    0.04071423
   16.06606607    0.04041217
   16.10610611    0.04007846
   16.14614615    0.03971477
   16.18618619    0.03932344
   16.22622623    0.03890742
   16.26626627    0.03847015
   16.30630631    0.03801539
   16.34634635    0.03754710
   16.38638639    0.03706934
   16.42642643    0.03658616
   16.46646647    0.03610158
   16.50650651    0.03561958
   16.54654655    0.03514410
   16.58658659    0.03467913
   16.62662663    0.03422863
   16.66666667    0.03379659
   16.70670671    0.03338689
   16.74674675    0.03300324
   16.78678679    0.03264901
   16.82682683    0.03232717
   16.86686687    0.03204014
   16.90690691    0.03178982
   16.94694695    0.03157753
   16.98698699    0.03140411
   17.02702703    0.03126999
   17.06706707    0.03117524
   17.10710711    0.03111965
   17.14714715    0.03110282
   17.18718719    0.03112409
   17.22722723    0.03118253
   17.26726727    0.03127692
   17.30730731    0.03140562
   17.34734735    0.03156650
   17.38738739    0.03175691
   17.42742743    0.03197359
   17.46746747    0.03221274
   17.50750751    0.03246999
   17.54754755    0.03274047
   17.58758759    0.03301894
   17.62762763    0.03329981
   17.66766767    0.03357734
   17.70770771    0.03384581
   17.74774775    0.03409970
   17.78778779    0.03433397
   17.82782783    0.03454428
   17.86786787    0.03472730
   17.90790791    0.03488082
   17.94794795    0.03500390
   17.98798799    0.03509682
   18.02802803    0.03516099
   18.06806807    0.03519866
   18.10810811    0.03521268
   18.14814815    0.03520616
   18.18818819    0.03518216
   18.22822823    0.03514343
   18.26826827    0.03509227
   18.30830831    0.03503036
   18.34834835    0.03495877
   18.38838839    0.03487802
   18.42842843    0.03478807
   18.46846847    0.03468857
   18.50850851    0.03457889
   18.54854855    0.03445838
   18.58858859    0.03432645
   18.62862863    0.03418276
   18.66866867    0.03402729
   18.70870871    0.03386041
   18.74874875    0.03368286
   18.78878879    0.03349576
   18.82882883    0.03330049
   18.86886887    0.03309865
   18.90890891    0.03289195
   18.94894895    0.03268215
   18.98898899    0.03247105
   19.02902903    0.03226045
   19.06906907    0.03205215
   19.10910911    0.03184799
