# Final state angular momentum:   1
# Broadening parameter (in eV):    0.500
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
   14.98498498    0.06010252
   15.02502503    0.06022345
   15.06506507    0.06034760
   15.10510511    0.06047924
   15.14514515    0.06062144
   15.18518519    0.06077577
   15.22522523    0.06094218
   15.26526527    0.06111887
   15.30530531    0.06130249
   15.34534535    0.06148836
   15.38538539    0.06167083
   15.42542543    0.06184381
   15.46546547    0.06200117
   15.50550551    0.06213717
   15.54554555    0.06224676
   15.58558559    0.06232567
   15.62562563    0.06237044
   15.66566567    0.06237823
   15.70570571    0.06234664
   15.74574575    0.06227349
   15.78578579    0.06215665
   15.82582583    0.06199393
   15.86586587    0.06178311
   15.90590591    0.06152204
   15.94594595    0.06120895
   15.98598599    0.06084264
   16.02602603    0.06042283
   16.06606607    0.05995034
   16.10610611    0.05942717
   16.14614615    0.05885650
   16.18618619    0.05824247
   16.22622623    0.05759005
   16.26626627    0.05690469
   16.30630631    0.05619211
   16.34634635    0.05545806
   16.38638639    0.05470813
   16.42642643    0.05394775
   16.46646647    0.05318223
   16.50650651    0.05241688
   16.54654655    0.05165722
   16.58658659    0.05090914
   16.62662663    0.05017901
   16.66666667    0.04947360
   16.70670671    0.04879988
   16.74674675    0.04816472
   16.78678679    0.04757448
   16.82682683    0.04703473
   16.86686687    0.04654998
   16.90690691    0.04612358
   16.94694695    0.04575777
   16.98698699    0.04545380
   17.02702703    0.04521213
   17.06706707    0.04503265
   17.10710711    0.04491481
   17.14714715    0.04485776
   17.18718719    0.04486038
   17.22722723    0.04492117
   17.26726727    0.04503815
   17.30730731    0.04520870
   17.34734735    0.04542926
   17.38738739    0.04569526
   17.42742743    0.04600090
   17.46746747    0.04633910
   17.50750751    0.04670157
   17.54754755    0.04707893
   17.58758759    0.04746091
   17.62762763    0.04783675
   17.66766767    0.04819561
   17.70770771    0.04852705
   17.74774775    0.04882161
   17.78778779    0.04907134
   17.82782783    0.04927024
   17.86786787    0.04941464
   17.90790791    0.04950334
   17.94794795    0.04953756
   17.98798799    0.04952067
   18.02802803    0.04945774
   18.06806807    0.04935488
   18.10810811    0.04921864
   18.14814815    0.04905528
   18.18818819    0.04887024
   18.22822823    0.04866777
   18.26826827    0.04845072
   18.30830831    0.04822050
   18.34834835    0.04797731
   18.38838839    0.04772038
   18.42842843    0.04744833
   18.46846847    0.04715952
   18.50850851    0.04685239
   18.54854855    0.04652574
   18.58858859    0.04617884
   18.62862863    0.04581157
   18.66866867    0.04542442
   18.70870871    0.04501839
   18.74874875    0.04459494
   18.78878879    0.04415586
   18.82882883    0.04370314
   18.86886887    0.04323899
   18.90890891    0.04276577
   18.94894895    0.04228607
   18.98898899    0.04180281
   19.02902903    0.04131932
   19.06906907    0.04083949
   19.10910911    0.04036775
   19.14914915    0.03990904
   19.18918919    0.03946875
   19.22922923    0.03905248
   19.26926927    0.03866584
   19.30930931    0.03831418
   19.34934935    0.03800234
   19.38938939    0.03773444
   19.42942943    0.03751367
   19.46946947    0.03734219
   19.50950951    0.03722099
   19.54954955    0.03714991
   19.58958959    0.03712762
   19.62962963    0.03715173
   19.66966967    0.03721893
   19.70970971    0.03732522
   19.74974975    0.03746617
   19.78978979    0.03763727
   19.82982983    0.03783427
   19.86986987    0.03805352
   19.90990991    0.03829220
   19.94994995    0.03854856
   19.98998999    0.03882196
   20.03003003    0.03911281
   20.07007007    0.03942241
   20.11011011    0.03975263
   20.15015015    0.04010560
   20.19019019    0.04048330
   20.23023023    0.04088720
   20.27027027    0.04131793
   20.31031031    0.04177502
   20.35035035    0.04225673
   20.39039039    0.04276002
   20.43043043    0.04328058
   20.47047047    0.04381299
   20.51051051    0.04435097
   20.55055055    0.04488764
   20.59059059    0.04541583
   20.63063063    0.04592825
   20.67067067    0.04641769
   20.71071071    0.04687701
   20.75075075    0.04729916
   20.79079079    0.04767721
   20.83083083    0.04800434
   20.87087087    0.04827414
   20.91091091    0.04848085
   20.95095095    0.04861991
   20.99099099    0.04868845
   21.03103103    0.04868581
   21.07107107    0.04861389
   21.11111111    0.04847723
   21.15115115    0.04828287
   21.19119119    0.04803985
   21.23123123    0.04775851
   21.27127127    0.04744967
   21.31131131    0.04712373
   21.35135135    0.04679001
   21.39139139    0.04645611
   21.43143143    0.04612757
   21.47147147    0.04580777
   21.51151151    0.04549790
   21.55155155    0.04519720
   21.59159159    0.04490319
   21.63163163    0.04461205
   21.67167167    0.04431899
   21.71171171    0.04401862
   21.75175175    0.04370542
   21.79179179    0.04337408
   21.83183183    0.04301984
   21.87187187    0.04263877
   21.91191191    0.04222796
