# Final state angular momentum:   1
# Broadening parameter (in eV):    0.500
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
    9.89989990    0.05334018
    9.93993994    0.05309410
    9.97997998    0.05277166
   10.02002002    0.05237202
   10.06006006    0.05189632
   10.10010010    0.05134796
   10.14014014    0.05073267
   10.18018018    0.05005848
   10.22022022    0.04933538
   10.26026026    0.04857484
   10.30030030    0.04778925
   10.34034034    0.04699127
   10.38038038    0.04619323
   10.42042042    0.04540648
   10.46046046    0.04464103
   10.50050050    0.04390511
   10.54054054    0.04320505
   10.58058058    0.04254521
   10.62062062    0.04192811
   10.66066066    0.04135464
   10.70070070    0.04082426
   10.74074074    0.04033535
   10.78078078    0.03988542
   10.82082082    0.03947142
   10.86086086    0.03909002
   10.90090090    0.03873785
   10.94094094    0.03841177
   10.98098098    0.03810900
   11.02102102    0.03782724
   11.06106106    0.03756464
   11.10110110    0.03731965
   11.14114114    0.03709086
   11.18118118    0.03687674
   11.22122122    0.03667538
   11.26126126    0.03648433
   11.30130130    0.03630051
   11.34134134    0.03612014
   11.38138138    0.03593884
   11.42142142    0.03575180
   11.46146146    0.03555400
   11.50150150    0.03534050
   11.54154154    0.03510679
   11.58158158    0.03484906
   11.62162162    0.03456448
   11.66166166    0.03425143
   11.70170170    0.03390952
   11.74174174    0.03353958
   11.78178178    0.03314358
   11.82182182    0.03272439
   11.86186186    0.03228558
   11.90190190    0.03183121
   11.94194194    0.03136558
   11.98198198    0.03089307
   12.02202202    0.03041796
   12.06206206    0.02994434
   12.10210210    0.02947597
   12.14214214    0.02901623
   12.18218218    0.02856800
   12.22222222    0.02813364
   12.26226226    0.02771493
   12.30230230    0.02731308
   12.34234234    0.02692873
   12.38238238    0.02656198
   12.42242242    0.02621249
   12.46246246    0.02587944
   12.50250250    0.02556167
   12.54254254    0.02525761
   12.58258258    0.02496540
   12.62262262    0.02468288
   12.66266266    0.02440767
   12.70270270    0.02413721
   12.74274274    0.02386891
   12.78278278    0.02360024
   12.82282282    0.02332887
   12.86286286    0.02305281
   12.90290290    0.02277055
   12.94294294    0.02248122
   12.98298298    0.02218460
   13.02302302    0.02188124
   13.06306306    0.02157238
   13.10310310    0.02125988
   13.14314314    0.02094609
   13.18318318    0.02063367
   13.22322322    0.02032539
   13.26326326    0.02002400
   13.30330330    0.01973204
   13.34334334    0.01945173
   13.38338338    0.01918492
   13.42342342    0.01893294
   13.46346346    0.01869666
   13.50350350    0.01847635
   13.54354354    0.01827176
   13.58358358    0.01808202
   13.62362362    0.01790570
   13.66366366    0.01774081
   13.70370370    0.01758485
   13.74374374    0.01743491
   13.78378378    0.01728777
   13.82382382    0.01714009
   13.86386386    0.01698861
   13.90390390    0.01683035
   13.94394394    0.01666285
   13.98398398    0.01648436
   14.02402402    0.01629396
   14.06406406    0.01609159
   14.10410410    0.01587805
   14.14414414    0.01565478
   14.18418418    0.01542371
   14.22422422    0.01518699
   14.26426426    0.01494684
   14.30430430    0.01470536
   14.34434434    0.01446437
   14.38438438    0.01422547
   14.42442442    0.01398992
   14.46446446    0.01375877
   14.50450450    0.01353288
   14.54454454    0.01331295
   14.58458458    0.01309959
   14.62462462    0.01289331
   14.66466466    0.01269454
   14.70470470    0.01250354
   14.74474474    0.01232042
   14.78478478    0.01214507
   14.82482482    0.01197720
   14.86486486    0.01181636
   14.90490490    0.01166197
   14.94494494    0.01151345
   14.98498498    0.01137023
   15.02502503    0.01123184
   15.06506507    0.01109791
   15.10510511    0.01096819
   15.14514515    0.01084248
   15.18518519    0.01072063
   15.22522523    0.01060254
   15.26526527    0.01048811
   15.30530531    0.01037727
   15.34534535    0.01027002
   15.38538539    0.01016640
   15.42542543    0.01006659
   15.46546547    0.00997088
   15.50550551    0.00987968
   15.54554555    0.00979349
   15.58558559    0.00971285
   15.62562563    0.00963829
   15.66566567    0.00957021
   15.70570571    0.00950886
   15.74574575    0.00945429
   15.78578579    0.00940631
   15.82582583    0.00936454
   15.86586587    0.00932845
   15.90590591    0.00929744
   15.94594595    0.00927088
   15.98598599    0.00924820
   16.02602603    0.00922883
   16.06606607    0.00921227
   16.10610611    0.00919800
   16.14614615    0.00918547
   16.18618619    0.00917409
   16.22622623    0.00916320
   16.26626627    0.00915217
   16.30630631    0.00914038
   16.34634635    0.00912735
   16.38638639    0.00911271
   16.42642643    0.00909625
   16.46646647    0.00907792
   16.50650651    0.00905777
   16.54654655    0.00903595
   16.58658659    0.00901266
   16.62662663    0.00898821
   16.66666667    0.00896299
   16.70670671    0.00893753
   16.74674675    0.00891249
   16.78678679    0.00888876
   16.82682683    0.00886736
   16.86686687    0.00884950
   16.90690691    0.00883647
   16.94694695    0.00882963
   16.98698699    0.00883030
   17.02702703    0.00883973
   17.06706707    0.00885903
   17.10710711    0.00888915
   17.14714715    0.00893086
   17.18718719    0.00898473
   17.22722723    0.00905115
   17.26726727    0.00913037
   17.30730731    0.00922246
   17.34734735    0.00932738
   17.38738739    0.00944492
   17.42742743    0.00957477
   17.46746747    0.00971644
   17.50750751    0.00986934
