# Final state angular momentum:   1
# Broadening parameter (in eV):    0.500
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
   20.71071071    0.04700564
   20.75075075    0.04742574
   20.79079079    0.04780122
   20.83083083    0.04812549
   20.87087087    0.04839234
   20.91091091    0.04859625
   20.95095095    0.04873290
   20.99099099    0.04879961
   21.03103103    0.04879586
   21.07107107    0.04872356
   21.11111111    0.04858719
   21.15115115    0.04839363
   21.19119119    0.04815166
   21.23123123    0.04787134
   21.27127127    0.04756315
   21.31131131    0.04723723
   21.35135135    0.04690266
   21.39139139    0.04656687
   21.43143143    0.04623534
   21.47147147    0.04591143
   21.51151151    0.04559638
   21.55155155    0.04528952
   21.59159159    0.04498849
   21.63163163    0.04468963
   21.67167167    0.04438832
   21.71171171    0.04407939
   21.75175175    0.04375756
   21.79179179    0.04341775
   21.83183183    0.04305543
   21.87187187    0.04266687
   21.91191191    0.04224935
   21.95195195    0.04180120
   21.99199199    0.04132191
   22.03203203    0.04081207
   22.07207207    0.04027334
   22.11211211    0.03970836
   22.15215215    0.03912065
   22.19219219    0.03851447
   22.23223223    0.03789467
   22.27227227    0.03726660
   22.31231231    0.03663587
   22.35235235    0.03600822
   22.39239239    0.03538931
   22.43243243    0.03478452
   22.47247247    0.03419872
   22.51251251    0.03363611
   22.55255255    0.03310001
   22.59259259    0.03259275
   22.63263263    0.03211557
   22.67267267    0.03166861
   22.71271271    0.03125095
   22.75275275    0.03086062
   22.79279279    0.03049473
   22.83283283    0.03014962
   22.87287287    0.02982098
   22.91291291    0.02950404
   22.95295295    0.02919377
   22.99299299    0.02888502
   23.03303303    0.02857272
   23.07307307    0.02825199
   23.11311311    0.02791824
   23.15315315    0.02756725
   23.19319319    0.02719519
   23.23323323    0.02679862
   23.27327327    0.02637462
   23.31331331    0.02592079
   23.35335335    0.02543547
   23.39339339    0.02491790
   23.43343343    0.02436855
   23.47347347    0.02378930
   23.51351351    0.02318369
   23.55355355    0.02255689
   23.59359359    0.02191552
   23.63363363    0.02126724
   23.67367367    0.02062022
   23.71371371    0.01998252
   23.75375375    0.01936162
   23.79379379    0.01876398
   23.83383383    0.01819491
   23.87387387    0.01765842
   23.91391391    0.01715733
   23.95395395    0.01669343
   23.99399399    0.01626761
   24.03403403    0.01588005
   24.07407407    0.01553041
   24.11411411    0.01521797
   24.15415415    0.01494171
   24.19419419    0.01470045
   24.23423423    0.01449289
   24.27427427    0.01431766
   24.31431431    0.01417335
   24.35435435    0.01405851
   24.39439439    0.01397168
   24.43443443    0.01391136
   24.47447447    0.01387606
   24.51451451    0.01386422
   24.55455455    0.01387426
   24.59459459    0.01390454
   24.63463463    0.01395340
   24.67467467    0.01401909
   24.71471471    0.01409987
   24.75475475    0.01419393
   24.79479479    0.01429950
   24.83483483    0.01441486
   24.87487487    0.01453838
   24.91491491    0.01466858
   24.95495495    0.01480416
   24.99499499    0.01494403
   25.03503504    0.01508723
   25.07507508    0.01523297
   25.11511512    0.01538048
   25.15515516    0.01552897
   25.19519520    0.01567747
   25.23523524    0.01582479
   25.27527528    0.01596930
   25.31531532    0.01610890
   25.35535536    0.01624086
   25.39539540    0.01636176
   25.43543544    0.01646748
   25.47547548    0.01655325
   25.51551552    0.01661386
   25.55555556    0.01664397
   25.59559560    0.01663857
   25.63563564    0.01659347
   25.67567568    0.01650581
   25.71571572    0.01637445
   25.75575576    0.01620019
   25.79579580    0.01598576
   25.83583584    0.01573554
   25.87587588    0.01545511
   25.91591592    0.01515070
   25.95595596    0.01482857
   25.99599600    0.01449446
   26.03603604    0.01415319
   26.07607608    0.01380850
   26.11611612    0.01346294
   26.15615616    0.01311805
   26.19619620    0.01277455
   26.23623624    0.01243263
   26.27627628    0.01209221
   26.31631632    0.01175321
   26.35635636    0.01141575
   26.39639640    0.01108026
   26.43643644    0.01074757
   26.47647648    0.01041888
   26.51651652    0.01009570
   26.55655656    0.00977969
   26.59659660    0.00947261
   26.63663664    0.00917610
   26.67667668    0.00889162
   26.71671672    0.00862041
   26.75675676    0.00836340
   26.79679680    0.00812122
   26.83683684    0.00789427
   26.87687688    0.00768269
   26.91691692    0.00748643
   26.95695696    0.00730529
   26.99699700    0.00713892
   27.03703704    0.00698693
   27.07707708    0.00684884
   27.11711712    0.00672414
   27.15715716    0.00661231
   27.19719720    0.00651279
   27.23723724    0.00642506
   27.27727728    0.00634857
   27.31731732    0.00628279
   27.35735736    0.00622719
   27.39739740    0.00618124
   27.43743744    0.00614439
   27.47747748    0.00611610
   27.51751752    0.00609581
   27.55755756    0.00608293
   27.59759760    0.00607685
   27.63763764    0.00607697
   27.67767768    0.00608263
   27.71771772    0.00609320
   27.75775776    0.00610804
   27.79779780    0.00612651
   27.83783784    0.00614803
   27.87787788    0.00617202
   27.91791792    0.00619798
   27.95795796    0.00622543
   27.99799800    0.00625398
   28.03803804    0.00628329
   28.07807808    0.00631309
   28.11811812    0.00634318
   28.15815816    0.00637344
   28.19819820    0.00640382
   28.23823824    0.00643432
   28.27827828    0.00646499
   28.31831832    0.00649586
   28.35835836    0.00652698
   28.39839840    0.00655832
   28.43843844    0.00658979
   28.47847848    0.00662118
   28.51851852    0.00665218
   28.55855856    0.00668234
   28.59859860    0.00671108
   28.63863864    0.00673769
   28.67867868    0.00676135
   28.71871872    0.00678117
   28.75875876    0.00679626
   28.79879880    0.00680572
   28.83883884    0.00680876
   28.87887888    0.00680476
   28.91891892    0.00679327
   28.95895896    0.00677408
   28.99899900    0.00674722
   29.03903904    0.00671295
   29.07907908    0.00667173
   29.11911912    0.00662419
   29.15915916    0.00657102
   29.19919920    0.00651301
   29.23923924    0.00645092
   29.27927928    0.00638553
   29.31931932    0.00631756
   29.35935936    0.00624770
   29.39939940    0.00617659
   29.43943944    0.00610487
   29.47947948    0.00603311
   29.51951952    0.00596188
   29.55955956    0.00589171
   29.59959960    0.00582313
   29.63963964    0.00575661
   29.67967968    0.00569260
   29.71971972    0.00563152
   29.75975976    0.00557370
   29.79979980    0.00551944
   29.83983984    0.00546893
   29.87987988    0.00542233
   29.91991992    0.00537970
   29.95995996    0.00534107
   30.00000000    0.00530638
